"","api00","api99","colgrad","subject","year","score"
"73",733,688,0,73,"binary99",1
"256",733,688,0,73,"binary00",1
"74",523,441,100,74,"binary99",0
"257",523,441,100,74,"binary00",0
"75",511,480,0,75,"binary99",0
"258",511,480,0,75,"binary00",0
"76",710,692,0,76,"binary99",1
"259",710,692,0,76,"binary00",1
"77",657,579,0,77,"binary99",0
"260",657,579,0,77,"binary00",1
"78",602,586,0,78,"binary99",0
"261",602,586,0,78,"binary00",0
"79",490,431,0,79,"binary99",0
"262",490,431,0,79,"binary00",0
"80",664,669,0,80,"binary99",1
"263",664,669,0,80,"binary00",1
"81",651,621,0,81,"binary99",1
"264",651,621,0,81,"binary00",1
"82",603,520,0,82,"binary99",0
"265",603,520,0,82,"binary00",0
"83",698,680,0,83,"binary99",1
"266",698,680,0,83,"binary00",1
"84",511,493,0,84,"binary99",0
"267",511,493,0,84,"binary00",0
"85",814,801,0,85,"binary99",1
"268",814,801,0,85,"binary00",1
"86",669,658,0,86,"binary99",1
"269",669,658,0,86,"binary00",1
"87",711,745,0,87,"binary99",1
"270",711,745,0,87,"binary00",1
"88",538,502,0,88,"binary99",0
"271",538,502,0,88,"binary00",0
"89",705,655,100,89,"binary99",1
"272",705,655,100,89,"binary00",1
"90",595,555,0,90,"binary99",0
"273",595,555,0,90,"binary00",0
"91",551,484,0,91,"binary99",0
"274",551,484,0,91,"binary00",0
"92",762,744,0,92,"binary99",1
"275",762,744,0,92,"binary00",1
"93",521,473,0,93,"binary99",0
"276",521,473,0,93,"binary00",0
"94",709,701,0,94,"binary99",1
"277",709,701,0,94,"binary00",1
"95",780,747,40,95,"binary99",1
"278",780,747,40,95,"binary00",1
"96",780,769,0,96,"binary99",1
"279",780,769,0,96,"binary00",1
"97",722,684,0,97,"binary99",1
"280",722,684,0,97,"binary00",1
"98",828,806,0,98,"binary99",1
"281",828,806,0,98,"binary00",1
"99",737,698,0,99,"binary99",1
"282",737,698,0,99,"binary00",1
"100",595,593,17,100,"binary99",0
"283",595,593,17,100,"binary00",0
"101",661,648,32,101,"binary99",1
"284",661,648,32,101,"binary00",1
"102",502,413,5,102,"binary99",0
"285",502,413,5,102,"binary00",0
"103",614,607,23,103,"binary99",0
"286",614,607,23,103,"binary00",0
"104",585,465,6,104,"binary99",0
"287",585,465,6,104,"binary00",0
"105",582,512,10,105,"binary99",0
"288",582,512,10,105,"binary00",0
"106",642,618,21,106,"binary99",1
"289",642,618,21,106,"binary00",0
"107",536,515,6,107,"binary99",0
"290",536,515,6,107,"binary00",0
"108",746,669,18,108,"binary99",1
"291",746,669,18,108,"binary00",1
"109",667,648,24,109,"binary99",1
"292",667,648,24,109,"binary00",1
"110",629,631,9,110,"binary99",1
"293",629,631,9,110,"binary00",0
"111",745,637,7,111,"binary99",1
"294",745,637,7,111,"binary00",1
"112",674,657,26,112,"binary99",1
"295",674,657,26,112,"binary00",1
"113",637,566,5,113,"binary99",0
"296",637,566,5,113,"binary00",0
"114",696,662,9,114,"binary99",1
"297",696,662,9,114,"binary00",1
"115",632,553,3,115,"binary99",0
"298",632,553,3,115,"binary00",0
"116",639,593,15,116,"binary99",0
"299",639,593,15,116,"binary00",0
"117",745,710,27,117,"binary99",1
"300",745,710,27,117,"binary00",1
"118",789,759,27,118,"binary99",1
"301",789,759,27,118,"binary00",1
"119",656,615,28,119,"binary99",1
"302",656,615,28,119,"binary00",1
"120",789,712,14,120,"binary99",1
"303",789,712,14,120,"binary00",1
"121",517,495,20,121,"binary99",0
"304",517,495,20,121,"binary00",0
"122",478,443,17,122,"binary99",0
"305",478,443,17,122,"binary00",0
"123",582,551,17,123,"binary99",0
"306",582,551,17,123,"binary00",0
"124",592,556,16,124,"binary99",0
"307",592,556,16,124,"binary00",0
"125",587,518,0,125,"binary99",0
"308",587,518,0,125,"binary00",0
"126",553,490,3,126,"binary99",0
"309",553,490,3,126,"binary00",0
"127",516,433,13,127,"binary99",0
"310",516,433,13,127,"binary00",0
"128",535,509,3,128,"binary99",0
"311",535,509,3,128,"binary00",0
"129",566,541,4,129,"binary99",0
"312",566,541,4,129,"binary00",0
"130",481,469,20,130,"binary99",0
"313",481,469,20,130,"binary00",0
"131",472,386,0,131,"binary99",0
"314",472,386,0,131,"binary00",0
"132",559,512,9,132,"binary99",0
"315",559,512,9,132,"binary00",0
"133",610,520,18,133,"binary99",0
"316",610,520,18,133,"binary00",0
"134",599,549,15,134,"binary99",0
"317",599,549,15,134,"binary00",0
"135",551,531,7,135,"binary99",0
"318",551,531,7,135,"binary00",0
"136",554,513,5,136,"binary99",0
"319",554,513,5,136,"binary00",0
"137",561,550,19,137,"binary99",0
"320",561,550,19,137,"binary00",0
"138",505,505,35,138,"binary99",0
"321",505,505,35,138,"binary00",0
"139",492,494,28,139,"binary99",0
"322",492,494,28,139,"binary00",0
"140",504,451,20,140,"binary99",0
"323",504,451,20,140,"binary00",0
"141",487,443,50,141,"binary99",0
"324",487,443,50,141,"binary00",0
"142",627,582,8,142,"binary99",0
"325",627,582,8,142,"binary00",0
"143",465,440,17,143,"binary99",0
"326",465,440,17,143,"binary00",0
"144",529,482,14,144,"binary99",0
"327",529,482,14,144,"binary00",0
"145",625,578,13,145,"binary99",0
"328",625,578,13,145,"binary00",0
"146",436,415,28,146,"binary99",0
"329",436,415,28,146,"binary00",0
"147",542,525,5,147,"binary99",0
"330",542,525,5,147,"binary00",0
"148",515,526,7,148,"binary99",0
"331",515,526,7,148,"binary00",0
"149",461,427,12,149,"binary99",0
"332",461,427,12,149,"binary00",0
"150",528,499,24,150,"binary99",0
"333",528,499,24,150,"binary00",0
"151",512,479,22,151,"binary99",0
"334",512,479,22,151,"binary00",0
"152",508,479,20,152,"binary99",0
"335",508,479,20,152,"binary00",0
"153",670,650,18,153,"binary99",1
"336",670,650,18,153,"binary00",1
"154",760,736,31,154,"binary99",1
"337",760,736,31,154,"binary00",1
"155",652,613,42,155,"binary99",1
"338",652,613,42,155,"binary00",1
"156",546,452,0,156,"binary99",0
"339",546,452,0,156,"binary00",0
"157",717,659,48,157,"binary99",1
"340",717,659,48,157,"binary00",1
"158",701,691,0,158,"binary99",1
"341",701,691,0,158,"binary00",1
"159",748,718,15,159,"binary99",1
"342",748,718,15,159,"binary00",1
"160",735,695,0,160,"binary99",1
"343",735,695,0,160,"binary00",1
"161",699,701,40,161,"binary99",1
"344",699,701,40,161,"binary00",1
"162",685,668,42,162,"binary99",1
"345",685,668,42,162,"binary00",1
"163",827,812,25,163,"binary99",1
"346",827,812,25,163,"binary00",1
"164",711,669,0,164,"binary99",1
"347",711,669,0,164,"binary00",1
"165",677,639,33,165,"binary99",1
"348",677,639,33,165,"binary00",1
"166",759,764,50,166,"binary99",1
"349",759,764,50,166,"binary00",1
"167",697,668,50,167,"binary99",1
"350",697,668,50,167,"binary00",1
"168",742,725,33,168,"binary99",1
"351",742,725,33,168,"binary00",1
"169",691,660,30,169,"binary99",1
"352",691,660,30,169,"binary00",1
"170",700,635,45,170,"binary99",1
"353",700,635,45,170,"binary00",1
"171",551,502,10,171,"binary99",0
"354",551,502,10,171,"binary00",0
"172",703,668,39,172,"binary99",1
"355",703,668,39,172,"binary00",1
"173",676,644,19,173,"binary99",1
"356",676,644,19,173,"binary00",1
"174",714,617,30,174,"binary99",1
"357",714,617,30,174,"binary00",1
"175",842,790,41,175,"binary99",1
"358",842,790,41,175,"binary00",1
"176",824,801,36,176,"binary99",1
"359",824,801,36,176,"binary00",1
"177",717,687,17,177,"binary99",1
"360",717,687,17,177,"binary00",1
"178",836,785,31,178,"binary99",1
"361",836,785,31,178,"binary00",1
"179",733,703,28,179,"binary99",1
"362",733,703,28,179,"binary00",1
"180",719,619,18,180,"binary99",1
"363",719,619,18,180,"binary00",1
"181",817,755,38,181,"binary99",1
"364",817,755,38,181,"binary00",1
"182",749,676,32,182,"binary99",1
"365",749,676,32,182,"binary00",1
"183",781,733,31,183,"binary99",1
"366",781,733,31,183,"binary00",1
